Name,Step,Evaluation Average Return
Value Network,93,-8.66455555
Value Network,94,1.029930711
Value Network,95,-6.69536972
Value Network,96,-23.097435
Value Network,97,-29.17413521
Value Network,98,25.45166206
Value Network,99,46.90281296
Value Network,100,25.53904724
Reward-to-go + Value Network,1,-91.46567535
Reward-to-go + Value Network,2,-100.5631332
Reward-to-go + Value Network,3,-71.48649597
Reward-to-go + Value Network,4,-62.49198532
Reward-to-go + Value Network,5,-46.14775085
Reward-to-go + Value Network,6,-53.25955582
Reward-to-go + Value Network,7,-67.55838776
Reward-to-go + Value Network,8,-60.68984604
Reward-to-go + Value Network,9,-51.73097229
Reward-to-go + Value Network,10,-34.69716263
Reward-to-go + Value Network,11,-35.1336937
Reward-to-go + Value Network,12,-61.64345169
Reward-to-go + Value Network,13,-12.95694447
Reward-to-go + Value Network,14,-29.91544533
Reward-to-go + Value Network,15,-6.563743114
Reward-to-go + Value Network,16,-41.06267166
Reward-to-go + Value Network,17,-34.2426796
Reward-to-go + Value Network,18,-15.71415043
Reward-to-go + Value Network,19,-8.752334595
Reward-to-go + Value Network,20,-1.644154906
Reward-to-go + Value Network,21,-29.31488228
Reward-to-go + Value Network,22,18.87790108
Reward-to-go + Value Network,23,-27.28022957
Reward-to-go + Value Network,24,-7.34245348
Reward-to-go + Value Network,25,11.07847881
Reward-to-go + Value Network,26,30.10455894
Reward-to-go + Value Network,27,4.675056458
Reward-to-go + Value Network,28,8.830212593
Reward-to-go + Value Network,29,-11.13077068
Reward-to-go + Value Network,30,21.9034729
Reward-to-go + Value Network,31,-1.044249177
Reward-to-go + Value Network,32,5.092803478
Reward-to-go + Value Network,33,5.315100193
Reward-to-go + Value Network,34,9.133271217
Reward-to-go + Value Network,35,24.51206017
Reward-to-go + Value Network,36,9.361865997
Reward-to-go + Value Network,37,19.76953316
Reward-to-go + Value Network,38,17.06318474
Reward-to-go + Value Network,39,19.36828423
Reward-to-go + Value Network,40,54.03194046
Reward-to-go + Value Network,41,52.45355606
Reward-to-go + Value Network,42,53.17764282
Reward-to-go + Value Network,43,57.08665466
Reward-to-go + Value Network,44,74.27978516
Reward-to-go + Value Network,45,79.19478607
Reward-to-go + Value Network,46,99.25566864
Reward-to-go + Value Network,47,97.990242
Reward-to-go + Value Network,48,96.92789459
Reward-to-go + Value Network,49,128.460022
Reward-to-go + Value Network,50,168.7262726
Reward-to-go + Value Network,51,186.3538818
Reward-to-go + Value Network,52,166.2017822
Reward-to-go + Value Network,53,201.3448944
Reward-to-go + Value Network,54,142.0224457
Reward-to-go + Value Network,55,160.1525879
Reward-to-go + Value Network,56,168.6667023
Reward-to-go + Value Network,57,137.2141571
Reward-to-go + Value Network,58,110.9897079
Reward-to-go + Value Network,59,179.7590332
Reward-to-go + Value Network,60,215.9367218
Reward-to-go + Value Network,61,192.3304291
Reward-to-go + Value Network,62,150.4942169
Reward-to-go + Value Network,63,172.2220917
Reward-to-go + Value Network,64,261.3752747
Reward-to-go + Value Network,65,210.8046417
Reward-to-go + Value Network,66,193.5364227
Reward-to-go + Value Network,67,184.0580902
Reward-to-go + Value Network,68,150.891037
Reward-to-go + Value Network,69,221.8258514
Reward-to-go + Value Network,70,200.8488312
Reward-to-go + Value Network,71,292.0575867
Reward-to-go + Value Network,72,232.6207733
Reward-to-go + Value Network,73,244.7293243
Reward-to-go + Value Network,74,272.6278381
Reward-to-go + Value Network,75,282.1592102
Reward-to-go + Value Network,76,228.7063446
Reward-to-go + Value Network,77,245.2739716
Reward-to-go + Value Network,78,290.5405273
Reward-to-go + Value Network,79,264.3020325
Reward-to-go + Value Network,80,257.0339661
Reward-to-go + Value Network,81,245.7873077
Reward-to-go + Value Network,82,211.0793915
Reward-to-go + Value Network,83,268.9727783
Reward-to-go + Value Network,84,252.144577
Reward-to-go + Value Network,85,303.0178833
Reward-to-go + Value Network,86,333.3194885
Reward-to-go + Value Network,87,236.7071075
