Name,Step,Evaluation Average Return
"b=30000, lr=0.005",60,-33.80460739
"b=30000, lr=0.005",61,-22.35418129
"b=30000, lr=0.005",62,-43.87746048
"b=30000, lr=0.005",63,-12.82507992
"b=30000, lr=0.005",64,-16.4102459
"b=30000, lr=0.005",65,-21.92200279
"b=30000, lr=0.005",66,-30.70554543
"b=30000, lr=0.005",67,-33.01207352
"b=30000, lr=0.005",68,-9.731215477
"b=30000, lr=0.005",69,-26.57325172
"b=30000, lr=0.005",70,-19.79990578
"b=30000, lr=0.005",71,-13.40357208
"b=30000, lr=0.005",72,-21.79006004
"b=30000, lr=0.005",73,-30.43860817
"b=30000, lr=0.005",74,-23.22807503
"b=30000, lr=0.005",75,-18.26397514
"b=30000, lr=0.005",76,-24.54940987
"b=30000, lr=0.005",77,7.664275646
"b=30000, lr=0.005",78,-18.05675316
"b=30000, lr=0.005",79,-16.33595848
"b=30000, lr=0.005",80,-1.160185814
"b=30000, lr=0.005",81,-14.94779682
"b=30000, lr=0.005",82,-2.679551125
"b=30000, lr=0.005",83,-8.185194969
"b=30000, lr=0.005",84,-11.65775585
"b=30000, lr=0.005",85,-36.18582916
"b=30000, lr=0.005",86,0.587215424
"b=30000, lr=0.005",87,-4.001228809
"b=30000, lr=0.005",88,-3.954586267
"b=30000, lr=0.005",89,-0.635833085
"b=30000, lr=0.005",90,17.66609001
"b=30000, lr=0.005",91,22.0793972
"b=30000, lr=0.005",92,10.79312897
"b=30000, lr=0.005",93,5.365348339
"b=30000, lr=0.005",94,11.57554722
"b=30000, lr=0.005",95,23.2714901
"b=30000, lr=0.005",96,8.243802071
"b=30000, lr=0.005",97,16.56641197
"b=30000, lr=0.005",98,5.471338272
"b=30000, lr=0.005",99,23.0326786
"b=30000, lr=0.005",100,5.579736233
"b=30000, lr=0.01",1,-78.99072266
"b=30000, lr=0.01",2,-84.37306976
"b=30000, lr=0.01",3,-81.78162384
"b=30000, lr=0.01",4,-101.2193985
"b=30000, lr=0.01",5,-75.5487442
"b=30000, lr=0.01",6,-59.47068405
"b=30000, lr=0.01",7,-46.52149582
"b=30000, lr=0.01",8,-73.24038696
"b=30000, lr=0.01",9,-82.99608612
"b=30000, lr=0.01",10,-38.04224014
"b=30000, lr=0.01",11,-45.30357361
"b=30000, lr=0.01",12,-50.76817322
"b=30000, lr=0.01",13,-49.36535645
"b=30000, lr=0.01",14,-29.57935143
"b=30000, lr=0.01",15,-90.84204102
"b=30000, lr=0.01",16,-8.232503891
"b=30000, lr=0.01",17,-58.60977173
"b=30000, lr=0.01",18,-58.54112625
"b=30000, lr=0.01",19,-60.07888412
"b=30000, lr=0.01",20,-28.95642281
"b=30000, lr=0.01",21,-45.92866898
"b=30000, lr=0.01",22,-55.35000229
"b=30000, lr=0.01",23,-36.32085037
"b=30000, lr=0.01",24,-46.32433701
"b=30000, lr=0.01",25,-50.22360229
"b=30000, lr=0.01",26,-29.66264915
"b=30000, lr=0.01",27,-31.06781578
"b=30000, lr=0.01",28,-18.15423393
"b=30000, lr=0.01",29,-46.01089859
"b=30000, lr=0.01",30,-18.41414833
"b=30000, lr=0.01",31,-11.31955338
"b=30000, lr=0.01",32,-16.88145065
"b=30000, lr=0.01",33,-25.55329323
"b=30000, lr=0.01",34,-9.165892601
"b=30000, lr=0.01",35,-37.06669235
