Lambda,Step,Evaluation Average Return
0.95,122,166.2646637
0.95,123,184.2939453
0.95,124,184.5718079
0.95,125,186.0404053
0.95,126,192.6316681
0.95,127,179.9895325
0.95,128,180.4071198
0.95,129,169.855957
0.95,130,180.6059265
0.95,131,184.2694855
0.95,132,193.453949
0.95,133,176.9907684
0.95,134,161.2714844
0.95,135,184.8645172
0.95,136,149.0941772
0.95,137,183.5302277
0.95,138,171.2197571
0.95,139,193.4617615
0.95,140,192.0729523
0.95,141,182.4655762
0.95,142,198.9708252
0.95,143,197.3393555
0.95,144,167.1004028
0.95,145,196.2372437
0.95,146,194.4671021
0.95,147,184.9838562
0.95,148,173.0758362
0.95,149,185.8869781
0.95,150,187.87323
0.95,151,186.5859833
0.95,152,185.8745575
0.95,153,191.5403595
0.95,154,200.7973328
0.95,155,166.3436584
0.95,156,203.1866913
0.95,157,184.7917023
0.95,158,198.2096558
0.95,159,191.9470673
0.95,160,200.433548
0.95,161,188.8288422
0.95,162,198.2489319
0.95,163,190.3885803
0.95,164,159.6915588
0.95,165,178.876297
0.95,166,179.4044952
0.95,167,194.6589661
0.95,168,185.9606476
0.95,169,186.3877411
0.95,170,202.715744
0.95,171,186.330368
0.95,172,194.508255
0.95,173,196.4754333
0.95,174,194.6995392
0.95,175,194.9606171
0.95,176,186.6033936
0.95,177,167.6208801
0.95,178,197.9899139
0.95,179,194.1831055
0.95,180,203.2891693
0.95,181,207.0174866
0.95,182,187.3527069
0.95,183,200.0484161
0.95,184,188.7914734
0.95,185,187.141922
0.95,186,206.9608002
0.95,187,193.6116028
0.95,188,203.5184326
0.95,189,208.399353
0.95,190,183.5915833
0.95,191,195.365387
0.95,192,207.6031952
0.95,193,187.5368652
0.95,194,188.2828064
0.95,195,145.8495331
0.95,196,189.9654846
0.95,197,195.6752319
0.95,198,173.211441
0.95,199,182.3564911
0.95,200,171.7976379
0.95,201,175.825531
0.95,202,186.2193756
0.95,203,213.7469177
0.95,204,158.9760742
0.95,205,187.5848846
0.95,206,203.7211456
0.95,207,174.6953278
0.95,208,225.3206482
0.95,209,183.8903656
0.95,210,169.6147156
0.95,211,181.7887421
0.95,212,187.821701
0.95,213,193.941803
0.95,214,161.6755066
0.95,215,189.6111145
0.95,216,191.2798615
0.95,217,193.0249481
0.95,218,208.603714
0.95,219,215.3607178
0.95,220,199.8427429
0.95,221,200.3648071
0.95,222,184.1186523
0.95,223,201.5940704
0.95,224,193.1700134
0.95,225,191.4507751
0.95,226,194.8956757
0.95,227,189.1053772
0.95,228,188.254364
0.95,229,224.712616
0.95,230,193.8901672
0.95,231,188.1607971
0.95,232,195.3657684
0.95,233,194.3265076
0.95,234,174.6502991
0.95,235,176.4210968
0.95,236,197.3744507
0.95,237,215.9701233
0.95,238,197.0189514
0.95,239,223.3917694
0.95,240,222.0196228
0.95,241,192.7308044
0.95,242,190.2991943
0.95,243,198.415741
0.95,244,202.922821
0.95,245,208.6670074
0.95,246,202.3292694
0.95,247,173.6065826
0.95,248,199.0644836
0.95,249,237.3468933
0.95,250,192.2861633
0.95,251,166.3131409
0.95,252,239.1068115
0.95,253,213.3368835
0.95,254,222.1582947
0.95,255,212.0084229
0.95,256,213.5631409
0.95,257,218.0631409
0.95,258,268.6341248
0.95,259,197.5847778
0.95,260,199.9208374
0.95,261,305.1699219
0.95,262,259.1748047
0.95,263,250.2794037
0.95,264,222.9324799
0.95,265,181.8029327
0.95,266,186.9252319
0.95,267,298.5481873
0.95,268,206.8618011
0.95,269,199.4679565
0.95,270,218.0253906
0.95,271,230.5634766
0.95,272,283.6582031
0.95,273,230.5784454
0.95,274,240.940979
0.95,275,247.3191681
0.95,276,351.7174072
0.95,277,176.7507019
0.95,278,271.6622925
0.95,279,321.0131531
0.95,280,267.4824829
0.95,281,260.9819031
0.95,282,317.3141174
0.95,283,233.9845581
0.95,284,217.5939484
0.95,285,254.1706543
0.95,286,231.5072479
0.95,287,261.3111572
0.95,288,288.6419983
0.95,289,237.7972412
0.95,290,165.546524
0.95,291,153.5363922
0.95,292,247.0085144
0.95,293,219.2902374
0.95,294,210.4561768
0.95,295,268.980957
0.95,296,312.9024048
0.95,297,132.4324188
0.95,298,250.4125671
0.95,299,398.7034607
0.95,300,235.2820129
0.98,1,10.0960722
0.98,2,9.986604691
0.98,3,11.15774441
0.98,4,11.76575661
0.98,5,22.57790375
0.98,6,11.34895134
0.98,7,14.440979
0.98,8,13.41728783
0.98,9,25.19231415
0.98,10,20.24223709
0.98,11,30.92951584
0.98,12,24.79642677
0.98,13,25.36012077
0.98,14,28.69226265
0.98,15,35.50667572
0.98,16,44.65190125
0.98,17,31.7587471
0.98,18,56.59216309
0.98,19,51.24597549
0.98,20,39.66997147
0.98,21,45.76124954
0.98,22,76.41556549
0.98,23,63.55741501
0.98,24,109.0829468
0.98,25,46.38684082
0.98,26,79.2872467
0.98,27,43.67871857
0.98,28,86.48148346
0.98,29,81.65271759
0.98,30,116.3527222
0.98,31,90.74383545
0.98,32,112.1264496
0.98,33,104.0066452
0.98,34,98.30218506
0.98,35,124.4352036
0.98,36,140.9225616
0.98,37,95.28678894
0.98,38,92.36114502
0.98,39,96.05485535
0.98,40,130.5835419
0.98,41,170.6730957
0.98,42,84.64788818
0.98,43,124.4691925
0.98,44,138.0107574
0.98,45,128.6921844
0.98,46,114.9447403
0.98,47,79.32017517
0.98,48,133.4725494
0.98,49,137.5282745
0.98,50,131.9968262
0.98,51,199.6059265
0.98,52,153.2314453
0.98,53,151.9584198
0.98,54,188.0426178
0.98,55,159.1970367
0.98,56,154.0223236
0.98,57,162.2763672
0.98,58,173.8520355
0.98,59,212.0066376
0.98,60,168.1026459
0.98,61,187.8071747
0.98,62,163.2577972
0.98,63,138.3818207
0.98,64,170.5373688
0.98,65,170.4808655
0.98,66,164.1251221
0.98,67,132.573349
0.98,68,204.2551727
0.98,69,164.4879608
0.98,70,192.9774475
0.98,71,138.3452148
0.98,72,133.2229004
0.98,73,192.677124
0.98,74,194.8324738
0.98,75,182.4199219
0.98,76,195.086853
0.98,77,185.3403473
0.98,78,179.407959
0.98,79,192.4116669
0.98,80,215.2429504
0.98,81,168.7763062
0.98,82,204.7875061
0.98,83,205.8556213
0.98,84,207.0796204
0.98,85,182.7264099
0.98,86,168.4300385
0.98,87,207.895813
0.98,88,224.0225372
0.98,89,197.1036224
0.98,90,206.1013641
0.98,91,205.9787903
0.98,92,175.3327484
0.98,93,169.413681
0.98,94,206.1820984
0.98,95,205.6383362
0.98,96,213.4167786
0.98,97,201.603302
0.98,98,182.9969025
0.98,99,188.5031891
0.98,100,199.9598083
0.98,101,200.2011871
0.98,102,206.4063721
0.98,103,217.719162
0.98,104,210.6929169
0.98,105,211.2239075
0.98,106,206.54422
0.98,107,207.8605042
0.98,108,211.7236023
0.98,109,214.0783539
0.98,110,196.4645081
0.98,111,215.2395477
0.98,112,202.9640808
0.98,113,207.2465363
0.98,114,225.7462921
0.98,115,212.3405762
0.98,116,214.1960449
0.98,117,202.9339294
0.98,118,219.614212
0.98,119,217.6326294
0.98,120,189.1903229
0.98,121,220.5186157
0.98,122,210.1200714
0.98,123,223.4327087
0.98,124,187.36763
0.98,125,226.4694214
0.98,126,219.6094818
0.98,127,209.1326599
0.98,128,217.8366241
0.98,129,205.8972168
0.98,130,220.5781708
0.98,131,193.5635529
0.98,132,217.7609863
0.98,133,193.6276093
0.98,134,231.1029358
0.98,135,227.4776001
0.98,136,230.5474396
0.98,137,202.5914154
0.98,138,221.3561859
0.98,139,232.4863281
0.98,140,198.4532928
0.98,141,220.2782898
0.98,142,214.1763
0.98,143,228.3645935
0.98,144,238.4011383
0.98,145,242.1165771
0.98,146,263.9961853
